,id,tweet,subtask_a,subtask_b,subtask_c
0,86426, she ask native americans take is,OFF,UNT,
1,90194,  go home youre drunk  maga trump  ,OFF,TIN,IND
2,16820,amazon investigating chinese employees selling internal data thirdparty sellers looking edge competitive marketplace  amazon maga kag china tcot,NOT,,
3,62688, someone shouldvetaken piece shit volcano ,OFF,UNT,
4,43605,  obama wanted liberals amp illegals move red states,NOT,,
5,97670, liberals kookoo ,OFF,TIN,OTH
6,77444,  oh noes tough shit,OFF,UNT,
7,52415, literally talking lol mass shootings like set ups its propaganda used divide us major issues like gun control terrorism,OFF,TIN,GRP
8,45157, buy icecream,NOT,,
9,13384, canada doesnt need another cuck we already enough looneyleft liberals fking great country qproofs trudeaumustgo,OFF,TIN,IND
10,82776,   its fault support gun control,NOT,,
11,42992, whats difference kavanaugh  one men admitted groping  year old girl years ago the going confirmed scj demsarefrauds demsaredone walkawaydemocrats redwave voteredsaveamerica trumptrain maga ,NOT,,
12,28414, lying corrupt traitor nobody wants hear anymore lies deepstatecorruption ,OFF,TIN,IND
13,54920,   it scare every american she playing hockey warped puck,NOT,,
14,56392,                                                  i like soda like i like boarders lot ice,NOT,,
15,86735, also king taste,NOT,,
16,95686,maga   sing like one listening  love like never hurt  vote gop one watching  and listen liberals dirt ,NOT,,
17,71446,  the time right house respond concerns canadians four five canadians support stronger gun control good reason guncontrol cdnpoli cdnhist,NOT,,
18,23958, besides jaxs mom maybe ope hands favorite hes like good person show ,NOT,,
19,28195,   gun control that kids asking for,OFF,TIN,OTH
20,56117,    lol throwing bullshit flag nonsense putuporshutup kavanaugh maga callthevotealready ,OFF,TIN,IND
21,67757,  you correct,NOT,,
22,12681,  kind like conservatives wanna associate everyone left communist antifa members,OFF,TIN,GRP
23,82904,  da fuck going people theres mens room womens room pick one stick w ,OFF,TIN,GRP
24,63236, been willie fan since bornlove holding rally beto exactly which fans furious could give specifics ,NOT,,
25,77665, tbh days like people general connect people days annoyance,OFF,TIN,IND
26,83484,south korean official leaders discuss specific denuke measures pyongyang  tcot maga rednationrising,NOT,,
27,74932,  you tell hooper,NOT,,
28,91252, i feel like better chasing title,NOT,,
29,25440,   she to referring to hillary you know tiresome bernie supporters bashing hillary clinton she actual democrat raises money democratic party doesnt bash them she positive message so dividing left,OFF,UNT,
30,81613, glad see friends supporting metis rights much supporting zionists ,NOT,,
31,82333, yes i asking movie ,NOT,,
32,12609,the thing democrats lying stalling stop trump president what done lately trump kavanaugh maga demsuck,OFF,TIN,GRP
33,13017, no wonder apologetic social day,NOT,,
34,18129,   any updates ending blatant racism windrush amp grenfell proves   alloutpolitics politicslive pmqs  ,NOT,,
35,70380,           do know whats going happen now im going lay bed cry i listen kelly clarkson thanks free speech antifa,NOT,,
36,12108,                                                  you smart you why think gen flynns sentencing keeps rescheduled ,OFF,TIN,IND
37,14726,   thats expected placate violent leftiststerrorists kavanaughconfirmation woke,OFF,TIN,GRP
38,74358, blow hard,NOT,,
39,82599,   that means max lvl twitter user maybe try new game,NOT,,
40,40212,  please explain controlled opposition means as bernier escaping split rest conservatives hes even racist exclusionary want be,NOT,,
41,78367,     socialists politics stand downtrodden and well done conflating criticism israel anti semitism you also part problem,NOT,,
42,66596, nina one reasons i read book long i so worried character i trusted everyone nina goddamn goddess i would die thousand times over she big bold lovely perfect her arc is perfect,NOT,,
43,70999,     please vote no kavanaugh he fit scotus allegations women shady financials disqualify him ruleoflaw matters metoo countryoverparty withdrawkavanaugh stopkavanaugh,NOT,,
44,36026,  ppl say im racist racist you are a racist repeat me,NOT,,
45,29439, kathy patriot you have to love great president trump a spine of us steel changing it on trade amp everything for americans americafirst usa maga leadership amp respect economy jobs peacethrustrength god bless trump amp theusa   ,NOT,,
46,74477, wow liberals really dont sense humor,NOT,,
47,49845, im so fucking ready,NOT,,
48,32305, holy moly if catholic people awakened  falseprophet lunatic,NOT,,
49,77243, lol yeah per dina there everyday per claudia horse got vet care unless donation example limping etc,NOT,,
50,73205,   what surprise antifa blm on soros americas worst enemy history he believes way take usa withing and hes right but gunna happen,NOT,,
51,47311, me too her wedding best she pretty,NOT,,
